wilayah,curah_hujan_mm,kelembaban_rata2,suhu_rata2_c,kepadatan_penduduk,jumlah_banjir,jumlah_kasus_positif_dbd
KABUPATEN BANDUNG,1425,72,21,2156,21,3589
KABUPATEN BANDUNG BARAT,1588,72,22,1468,8,3754
KABUPATEN BEKASI,1551,69,25,2617,11,1902
KABUPATEN BOGOR,1585,67,25,1899,29,3404
KABUPATEN CIAMIS,1452,67,22,789,11,1420
KABUPATEN CIANJUR,1594,70,22,712,8,1932
KABUPATEN CIREBON,1213,65,24,2228,18,1833
KABUPATEN GARUT,1374,67,22,876,7,3269
KABUPATEN INDRAMAYU,1100,68,25,922,7,528
KABUPATEN KARAWANG,1189,70,25,1335,26,3279
KABUPATEN KUNINGAN,1416,69,25,1018,3,2165
KABUPATEN MAJALENGKA,1239,69,24,1017,5,1275
KABUPATEN PANGANDARAN,1143,70,25,385,1,890
KABUPATEN PURWAKARTA,1348,70,25,1058,3,1088
KABUPATEN SUBANG,956,70,25,768,10,1929
KABUPATEN SUKABUMI,1318,71,22,679,24,841
KABUPATEN SUMEDANG,1432,72,21,758,7,2303
KABUPATEN TASIKMALAYA,1359,71,22,710,3,763
KOTA BANDUNG,1501,68,22,15176,9,7680
KOTA BANJAR,1283,69,25,1601,0,400
KOTA BEKASI,1364,70,25,12411,6,4167
KOTA BOGOR,1419,69,25,9683,9,3117
KOTA CIMAHI,1307,69,25,14110,3,850
KOTA CIREBON,1379,69,26,8744,5,597
KOTA DEPOK,1424,68,26,10823,5,5040
KOTA SUKABUMI,1650,67,22,7571,15,1631
KOTA TASIKMALAYA,1434,68,21,4081,7,1777
